,id,gb
0,5244,0
1,5245,0
2,5246,0
3,5247,0
4,5248,0
5,5249,0
6,5250,0
7,5251,0
8,5252,0
9,5253,0
10,5254,0
11,5255,0
12,5256,0
13,5257,0
14,5258,0
15,5259,0
16,5260,0
17,5261,0
18,5262,0
19,5263,0
20,5264,0
21,5265,0
22,5266,0
23,5267,0
24,5268,0
25,5269,0
26,5270,0
27,5271,0
28,5272,0
29,5273,0
30,5274,0
31,5275,0
32,5276,0
33,5277,0
34,5278,0
35,5279,0
36,5280,0
37,5281,0
38,5282,0
39,5283,0
40,5284,0
41,5285,0
42,5286,0
43,5287,0
44,5288,0
45,5289,0
46,5290,0
47,5291,0
48,5292,0
49,5293,0
50,5294,0
51,5295,0
52,5296,0
53,5297,0
54,5298,0
55,5299,0
56,5300,0
57,5301,0
58,5302,0
59,5303,0
60,5304,0
61,5305,0
62,5306,0
63,5307,0
64,5308,0
65,5309,0
66,5310,0
67,5311,0
68,5312,0
69,5313,0
70,5314,0
71,5315,0
72,5316,0
73,5317,0
74,5318,0
75,5319,0
76,5320,0
77,5321,0
78,5322,0
79,5323,0
80,5324,0
81,5325,0
82,5326,0
83,5327,0
84,5328,0
85,5329,0
86,5330,0
87,5331,0
88,5332,0
89,5333,0
90,5334,0
91,5335,0
92,5336,0
93,5337,0
94,5338,0
95,5339,0
96,5340,0
97,5341,0
98,5342,0
99,5343,0
100,5344,0
101,5345,0
102,5346,0
103,5347,0
104,5348,0
105,5349,0
106,5350,0
107,5351,0
108,5352,0
109,5353,0
110,5354,0
111,5355,0
112,5356,0
113,5357,0
114,5358,0
115,5359,0
116,5360,0
117,5361,0
118,5362,0
119,5363,0
120,5364,0
121,5365,0
122,5366,0
123,5367,0
124,5368,0
125,5369,0
126,5370,0
127,5371,0
128,5372,0
129,5373,0
130,5374,0
131,5375,0
132,5376,0
133,5377,0
134,5378,0
135,5379,0
136,5380,0
137,5381,0
138,5382,0
139,5383,0
140,5384,0
141,5385,0
142,5386,0
143,5387,0
144,5388,0
145,5389,0
146,5390,0
147,5391,0
148,5392,0
149,5393,0
150,5394,0
151,5395,0
152,5396,0
153,5397,0
154,5398,0
155,5399,0
156,5400,0
157,5401,0
158,5402,0
159,5403,0
160,5404,0
161,5405,0
162,5406,0
163,5407,0
164,5408,0
165,5409,0
166,5410,0
167,5411,0
168,5412,0
169,5413,0
170,5414,0
171,5415,0
172,5416,0
173,5417,0
174,5418,0
175,5419,0
176,5420,0
177,5421,0
178,5422,0
179,5423,0
180,5424,0
181,5425,0
182,5426,0
183,5427,0
184,5428,0
185,5429,0
186,5430,0
187,5431,0
188,5432,0
189,5433,0
190,5434,0
191,5435,0
192,5436,0
193,5437,0
194,5438,0
195,5439,0
196,5440,0
197,5441,0
198,5442,0
199,5443,0
200,5444,0
201,5445,0
202,5446,0
203,5447,0
204,5448,0
205,5449,0
206,5450,0
207,5451,0
208,5452,0
209,5453,0
210,5454,0
211,5455,0
212,5456,0
213,5457,0
214,5458,0
215,5459,0
216,5460,0
217,5461,0
218,5462,0
219,5463,0
220,5464,0
221,5465,0
222,5466,0
223,5467,0
224,5468,0
225,5469,0
226,5470,0
227,5471,0
228,5472,0
229,5473,0
230,5474,0
231,5475,0
232,5476,0
233,5477,0
234,5478,0
235,5479,0
236,5480,0
237,5481,0
238,5482,0
239,5483,0
240,5484,0
241,5485,0
242,5486,0
243,5487,0
244,5488,0
245,5489,0
246,5490,0
247,5491,0
248,5492,0
249,5493,0
250,5494,0
251,5495,0
252,5496,0
253,5497,0
254,5498,0
255,5499,0
256,5500,0
257,5501,0
258,5502,0
259,5503,0
260,5504,0
261,5505,0
262,5506,0
263,5507,0
264,5508,0
265,5509,0
266,5510,0
267,5511,0
268,5512,0
269,5513,0
270,5514,0
271,5515,0
272,5516,0
273,5517,0
274,5518,0
275,5519,0
276,5520,0
277,5521,0
278,5522,0
279,5523,0
280,5524,0
281,5525,0
282,5526,0
283,5527,0
284,5528,0
285,5529,0
286,5530,0
287,5531,0
288,5532,0
289,5533,0
290,5534,0
291,5535,0
292,5536,0
293,5537,0
294,5538,0
295,5539,0
296,5540,0
297,5541,0
298,5542,0
299,5543,0
300,5544,0
301,5545,0
302,5546,0
303,5547,0
304,5548,0
305,5549,0
306,5550,0
307,5551,0
308,5552,0
309,5553,0
310,5554,0
311,5555,0
312,5556,0
313,5557,0
314,5558,0
315,5559,0
316,5560,0
317,5561,0
318,5562,0
319,5563,0
320,5564,0
321,5565,0
322,5566,0
323,5567,0
324,5568,0
325,5569,0
326,5570,0
327,5571,0
328,5572,0
329,5573,0
330,5574,0
331,5575,0
332,5576,0
333,5577,0
334,5578,0
335,5579,0
336,5580,0
337,5581,0
338,5582,0
339,5583,0
340,5584,0
341,5585,0
342,5586,0
343,5587,0
344,5588,0
345,5589,0
346,5590,0
347,5591,0
348,5592,0
349,5593,0
350,5594,0
351,5595,0
352,5596,0
353,5597,0
354,5598,0
355,5599,0
356,5600,0
357,5601,0
358,5602,0
359,5603,0
360,5604,0
361,5605,0
362,5606,0
363,5607,0
364,5608,0
365,5609,0
366,5610,0
367,5611,0
368,5612,0
369,5613,0
370,5614,0
371,5615,0
372,5616,0
373,5617,0
374,5618,0
375,5619,0
